"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab357aa2e000095000705","Mas-Saintes-Puelles","25/11/2003","26/11/2003","Aude","113","608413","6246715","En Courdelle","#Moyen Âge","Languedoc-Roussillon",,"fouille"
"608ab357aa2e000095000706","Brumath","13/10/2003","28/11/2003","Bas-Rhin","114","1046255","6858287","Rue du château","#Antiquité#Moyen Âge#Moderne, Contemporain","Alsace",,"fouille"
"608ab357aa2e000095000707","L'Île-Saint-Denis","17/11/2003","28/11/2003","Seine-Saint-Denis","115","653067","6868543","66-70, Rue Du Landy","#Protohistoire","Ile-de-France",,"fouille"
"608ab357aa2e000095000708","Saint-Étienne-au-Mont","03/11/2003","12/12/2003","Pas-de-Calais","116","601287,906","7064508,01","Rue des Écoles","#Néolithique#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Nord-Pas-de-Calais",,"fouille"
"608ab357aa2e000095000709","Tours","01/01/2003","31/12/2003","Indre-et-Loire","117","525011","6701461","Hôpital Clocheville","#Protohistoire#Antiquité#Moyen Âge","Centre","#Archéologie des conflits#Cultes et pratiques funéraires#Habitats, architecture, édifices#Peuplement, occupation espace","fouille"
"608ab357aa2e00009500070a","Tigery","01/01/2003","31/12/2003","Seine-et-Marne","118","664054","6837047","ZAC des Fossés Neufs","#Protohistoire#Antiquité#Moyen Âge","Ile-de-France","#Cultes et pratiques funéraires#Échange et transport#Habitats, architecture, édifices","fouille"
"608ab357aa2e00009500070b","Reims","01/10/2003","31/12/2003","Marne","119","774850","6906310","15  rue Clovis","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne","#Habitats, architecture, édifices","fouille"
"608ab357aa2e00009500070c","Bordeaux","01/01/2002 00:00","31/12/2003 00:00","Gironde","120","417945,091","6422227,559","12 place de la Bourse","#Moyen Âge","Aquitaine","#Agriculture, élevage#Échange et transport","fouille"
"608ab357aa2e00009500070d","Hérouville","01/03/2003","01/01/2004","Val-d'Oise","121","636624","6889325","Église Saint-Clair","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab357aa2e00009500070e","Amiens","01/09/2003","01/01/2004","Somme","122","650084,626","6977329,274","38-42  rue Lamartine","#Antiquité#Moyen Âge","Picardie",,"fouille"
"608ab357aa2e00009500070f","Savigny-le-Temple","01/12/2003","31/01/2004","Seine-et-Marne","123","668703","6834002","ZAC de la Grange du Bois, lot A1","#Protohistoire","Ile-de-France","#Habitats, architecture, édifices","fouille"
"608ab357aa2e000095000710","Valence","01/09/2003","15/02/2004","Drôme","124","849061","6427479","Place des Ormeaux","#Antiquité#Moyen Âge","Rhône-Alpes","#Cultes et pratiques funéraires#Habitats, architecture, édifices","fouille"
"608ab357aa2e000095000711","Aigues-Vives","24/11/2003","27/02/2004","Hérault","125","735631,1","6280132,77","La Madeleine","#Antiquité#Moyen Âge","Languedoc-Roussillon",,"fouille"
"608ab357aa2e000095000712","Paris","16/06/2003","05/03/2004","Paris","126","651485","6861237","1 place Paul Claudel, théâtre national de l'Odéon","#Antiquité#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab357aa2e000095000713","Marseille","15/08/2003","15/03/2004","Bouches-du-Rhône","127","892379,747","6247793,248","1bis, rue Malaval","#Antiquité#Moyen Âge#Moderne, Contemporain","Provences-Alpes-Côte-d'Azur",,"fouille"
"608ab357aa2e000095000714","Peipin","01/11/2003","17/03/2004","Alpes de Haute-Provence","128","936093,97","6341879,65","Les Granges","#Protohistoire","Provences-Alpes-Côte-d'Azur",,"fouille"
